epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
91,8290.3,0.99108,0.58148,0.01444,0.92672,0.89891,0.95697,0.76025,0.80018,0.38706,0.01474,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,8385.13,0.99606,0.57478,0.01466,0.92463,0.90126,0.95668,0.7599,0.79946,0.3888,0.01473,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,8476.58,0.99038,0.57693,0.01438,0.92532,0.90156,0.95682,0.7605,0.79893,0.38746,0.01472,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,8568.17,0.97746,0.57709,0.01431,0.92724,0.9005,0.95683,0.7608,0.79875,0.38693,0.01472,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,8662.86,0.9829,0.57293,0.01434,0.92762,0.90113,0.95707,0.76135,0.79809,0.3855,0.01471,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,8754.53,0.97988,0.56396,0.01424,0.92877,0.90056,0.95702,0.7615,0.79758,0.38603,0.0147,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,8848,0.97736,0.56426,0.0142,0.92768,0.90197,0.95699,0.7614,0.79719,0.38585,0.01469,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,8939.54,0.97332,0.56394,0.01406,0.92909,0.90084,0.95727,0.76186,0.79709,0.38533,0.01469,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,9032.19,0.96855,0.55659,0.01402,0.93082,0.89846,0.95746,0.76199,0.79638,0.38684,0.01467,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,9124.87,0.97422,0.56186,0.01404,0.93013,0.89865,0.95772,0.76203,0.79558,0.38684,0.01465,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
