epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
106,8228.86,0.84554,0.5077,1.05964,0.92121,0.90761,0.9589,0.76121,0.75396,0.36903,0.94119,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,8306.97,0.84153,0.50339,1.06095,0.92156,0.90775,0.95901,0.76132,0.75355,0.3687,0.9409,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,8382.63,0.84037,0.50508,1.06388,0.9244,0.90572,0.95891,0.76162,0.75337,0.36863,0.9408,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,8460.82,0.84059,0.50435,1.06262,0.92742,0.90326,0.95904,0.76198,0.75294,0.36807,0.94064,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,8540.21,0.83843,0.50063,1.06093,0.92526,0.90601,0.95929,0.76201,0.75247,0.36778,0.94034,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,8622.82,0.83445,0.5012,1.05952,0.92848,0.90228,0.95933,0.76211,0.75207,0.36726,0.94009,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,8704.07,0.83236,0.49921,1.06009,0.92547,0.90622,0.9596,0.7623,0.75179,0.36677,0.93991,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,8783.03,0.82987,0.49924,1.06004,0.92546,0.90742,0.95978,0.76217,0.75157,0.36637,0.93982,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,8868.04,0.8213,0.48905,1.056,0.92626,0.90745,0.95987,0.76208,0.7513,0.3663,0.93967,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,8945.84,0.82604,0.49142,1.05755,0.92634,0.90814,0.96,0.76235,0.75093,0.36622,0.93939,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
